"","t.Arduino.Only","t.Both","t.Lilypad.Only","prop.row.Arduino.Only","prop.row.Both","prop.row.Lilypad.Only","prop.col.Arduino.Only","prop.col.Both","prop.col.Lilypad.Only","prop.tbl.Arduino.Only","prop.tbl.Both","prop.tbl.Lilypad.Only"
"Unknown",890,17,52,0.928050052137643,0.0177267987486966,0.0542231491136601,0.105650522317189,0.06640625,0.0729312762973352,0.0947514106249335,0.00180985840519536,0.00553603747471521
"Male",6724,178,382,0.923119165293795,0.0244371224601867,0.0524437122460187,0.798195631528965,0.6953125,0.535764375876578,0.715852230384329,0.0189502821249867,0.040668582987331
"Female",810,61,279,0.704347826086957,0.0530434782608696,0.242608695652174,0.0961538461538462,0.23828125,0.391304347826087,0.0862344298946024,0.00649419780687746,0.0297029702970297
